id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,class
2972,4301.03,4024.62,4281.54,4155.38,4356.41,4622.56,4069.74,4621.03,4209.74,4229.74,4214.36,4287.18,4612.31,4369.74,0
2466,4300.0,4014.36,4261.03,4121.54,4338.97,4577.95,4087.18,4604.1,4197.95,4226.15,4202.56,4283.59,4595.9,4351.28,0
1861,4334.87,4036.92,4310.26,4150.26,4363.59,4651.28,4098.46,4634.87,4210.77,4250.77,4231.79,4299.49,4628.21,4385.13,0
1886,4256.92,3968.21,4222.56,4106.15,4325.64,4609.23,4072.31,4601.03,4190.26,4220.51,4170.77,4253.33,4583.59,4333.33,1
8757,4274.36,3971.28,4247.18,4091.79,4324.1,4600.0,4037.95,4601.03,4190.26,4232.31,4196.41,4256.41,4594.36,4344.1,0
5610,4301.54,3989.23,4265.13,4133.33,4335.9,4612.31,4069.23,4598.97,4199.49,4230.26,4202.56,4283.08,4615.38,4370.77,0
8538,4290.26,3998.97,4263.59,4126.67,4350.77,4640.0,4095.9,4637.95,4234.87,4268.21,4227.18,4288.72,4627.69,4369.74,1
2780,4302.56,3989.74,4266.15,4131.79,4330.26,4624.1,4074.36,4599.49,4199.49,4236.41,4197.95,4282.56,4608.72,4366.67,0
4204,4303.08,4004.1,4264.1,4111.79,4341.03,4615.38,4060.0,4622.56,4208.21,4236.92,4186.15,4278.97,4611.79,4364.1,1
1521,4315.38,4001.03,4281.54,4138.46,4324.62,4603.08,4058.46,4616.92,4194.36,4226.15,4197.44,4285.13,4612.31,4373.85,1
21,4322.56,4016.92,4265.13,4123.08,4327.18,4610.26,4071.28,4600.0,4188.21,4217.95,4160.0,4291.79,4609.74,4374.87,0
2137,4317.44,4040.51,4272.31,4122.56,4348.72,4623.59,4113.85,4604.1,4193.33,4231.28,4226.15,4298.46,4632.82,4371.79,1
7518,4283.08,3993.85,4248.21,4102.05,4335.9,4600.0,4065.64,4587.69,4177.95,4214.36,4191.79,4275.38,4613.85,4353.85,1
6591,4282.05,3996.41,4258.46,4110.77,4334.36,4617.95,4057.95,4614.36,4191.28,4206.15,4187.18,4270.77,4593.85,4349.23,0
2590,4286.67,4038.97,4260.51,4118.97,4337.44,4626.67,4057.95,4614.36,4205.13,4229.74,4201.54,4274.36,4604.62,4343.08,0
3569,4297.44,3986.67,4268.72,4138.46,4338.46,4631.28,4055.38,4606.15,4193.33,4224.1,4199.49,4276.92,4596.41,4352.82,0
6180,4282.56,3929.74,4252.31,4119.49,4334.36,4624.62,4061.03,4601.03,4190.77,4223.08,4201.54,4268.72,4592.31,4325.13,0
5454,4365.64,4056.92,4278.97,4134.87,4321.03,4612.82,4053.33,4595.9,4176.41,4206.67,4205.64,4285.64,4615.38,4406.67,0
766,4377.95,4052.31,4281.03,4142.05,4334.36,4615.9,4054.87,4597.95,4188.72,4225.13,4222.05,4294.36,4631.79,4423.59,0
3151,4278.46,4015.9,4244.62,4108.72,4332.31,4610.26,4054.36,4601.03,4178.46,4215.9,4197.95,4265.64,4596.41,4339.49,0
347,4423.59,4057.95,4296.92,4144.62,4350.26,4623.59,4076.41,4604.1,4208.21,4270.77,4239.49,4312.82,4676.41,4464.62,0
6657,4268.21,3974.87,4233.33,4106.67,4323.08,4601.54,4064.62,4599.49,4192.31,4222.05,4175.9,4262.56,4590.26,4355.38,1
5864,4298.46,4008.72,4254.36,4126.15,4331.79,4573.33,4089.23,4601.03,4190.26,4221.54,4191.28,4283.59,4598.97,4364.62,0
8596,4310.26,4019.49,4248.72,4134.87,4344.1,4632.31,4086.67,4610.26,4197.44,4248.21,4207.69,4285.64,4614.87,4386.15,0
1432,4280.51,3981.03,4249.23,4106.67,4327.69,4611.28,4060.0,4615.38,4181.03,4225.64,4202.56,4267.69,4580.0,4343.59,1
5765,4285.13,3989.23,4268.21,4086.67,4331.28,4621.03,4086.15,4630.26,4208.21,4243.08,4213.85,4284.62,4604.1,4361.54,0
